district,year,5,6,7,8,9
Central,2021,5692,6888,7912,8709,9336
Merrimack Valley,2021,6329,7658,8797,9683,10380
North Shore,2021,5336,6456,7417,8164,8751
South Shore,2021,5760,6969,8006,8812,9446
Southeast,2021,6272,7589,8718,9596,10286
Western,2021,5117,6192,7113,7829,8392
Central,2022,5977,7232,8308,9145,9802
Merrimack Valley,2022,6645,8041,9237,10168,10899
North Shore,2022,5603,6779,7788,8572,9188
South Shore,2022,6048,7317,8406,9253,9918
Southeast,2022,6586,7969,9154,10076,10801
Western,2022,5373,6501,7469,8221,8812
Central,2023,6276,7594,8724,9602,10293
Merrimack Valley,2023,6978,8443,9699,10676,11443
North Shore,2023,5883,7118,8177,9001,9648
South Shore,2023,6350,7683,8826,9715,10414
Southeast,2023,6915,8367,9612,10580,11341
Western,2023,5642,6827,7842,8632,9252
Central,2024,6590,7974,9160,10082,10807
Merrimack Valley,2024,7327,8865,10184,11210,12016
North Shore,2024,6177,7474,8586,9451,10130
South Shore,2024,6667,8068,9268,10201,10934
Southeast,2024,7261,8786,10093,11109,11908
Western,2024,5924,7168,8234,9063,9715
Central,2025,6919,8372,9618,10586,11347
Merrimack Valley,2025,7693,9308,10693,11770,12616
North Shore,2025,6486,7848,9015,9923,10637
South Shore,2025,7001,8471,9731,10711,11481
Southeast,2025,7624,9225,10597,11664,12503
Western,2025,6220,7526,8646,9517,10201
